story_id,obs1,obs2,real_hypothesis,comet_model,abduction_gpt_lg_model,abduction_gpt_md_model,abduction_gpt_sm_model
2a61f221-61bb-4197-a7f9-e24455e21481-1,Mary was walking with her baby.,"Then, she quickly ran home and got him inside.",Mary's baby threw up over her.,Mary slipped on a patch of open space.,Mary's baby threw up over her.  her baby was scared and ran home. ,It started raining while Mary and baby were out. ,Mary's baby was crying. Mary's baby was crying. Mary's baby was crying
2a6a2406-3def-4473-ab18-2eab69b0910c-1,Maya took a trip to the beach.,Maya decided to rest before she swam again.,Maya got exhausted after a swim.,Maya suddenly felt tired.,Maya went swimming in the ocean.  is a lifeguard. ,Maya went swimming in the ocean. ,Maya decided to swim in the ocean. Maya decided to go to the beach. Maya went to the beach
2a6a2406-3def-4473-ab18-2eab69b0910c-1,Maya took a trip to the beach.,Maya decided to rest before she swam again.,Maya didn't get out of the water.,Maya spent the day at the beach.,Maya went swimming in the ocean.  is a lifeguard. ,Maya went swimming in the ocean. ,Maya decided to swim in the ocean. Maya decided to go to the beach. Maya went to the beach
2a6a2406-3def-4473-ab18-2eab69b0910c-1,Maya took a trip to the beach.,Maya decided to rest before she swam again.,Maya swam all day until she was sore.,Maya suddenly stopped sleeping.,Maya went swimming in the ocean.  is a lifeguard. ,Maya went swimming in the ocean. ,Maya decided to swim in the ocean. Maya decided to go to the beach. Maya went to the beach
2a6a2406-3def-4473-ab18-2eab69b0910c-1,Maya took a trip to the beach.,Maya decided to rest before she swam again.,She swam for hours straight.,Maya swam all day and tired.,Maya went swimming in the ocean.  is a lifeguard. ,Maya went swimming in the ocean. ,Maya decided to swim in the ocean. Maya decided to go to the beach. Maya went to the beach
2a6a2406-3def-4473-ab18-2eab69b0910c-1,Maya took a trip to the beach.,Maya decided to rest before she swam again.,Maya went dancing at the club.,Maya had a bad sunburn.,Maya went swimming in the ocean.  is a lifeguard. ,Maya went swimming in the ocean. ,Maya decided to swim in the ocean. Maya decided to go to the beach. Maya went to the beach
2a84dc0d-0900-4cfc-a8ad-118499e8fb02-1,Jerry loved candy.,Jerry went to the dentist office to cure his toothache.,He ate a lot of tacos every day.,Jerry ate too much candy.,He ate a lot every day. . ,He ate so much he got a toothache. ,Jerry's dentist said he needed to get a toothbrush. [SEP]Jerry's dentist said he needed to get a toothbrush. Jerry's dentist said he needed to get a toothbrush
2a84dc0d-0900-4cfc-a8ad-118499e8fb02-1,Jerry loved candy.,Jerry went to the dentist office to cure his toothache.,He ate so much he got a toothache.,Jerry lost a toothache.,He ate a lot every day. . ,He ate so much he got a toothache. ,Jerry's dentist said he needed to get a toothbrush. [SEP]Jerry's dentist said he needed to get a toothbrush. Jerry's dentist said he needed to get a toothbrush
2a84dc0d-0900-4cfc-a8ad-118499e8fb02-1,Jerry loved candy.,Jerry went to the dentist office to cure his toothache.,Jerry then got a toothache.,Jerry ate too much candy and started feeling very hungry.,He ate a lot every day. . ,He ate so much he got a toothache. ,Jerry's dentist said he needed to get a toothbrush. [SEP]Jerry's dentist said he needed to get a toothbrush. Jerry's dentist said he needed to get a toothbrush
2a84dc0d-0900-4cfc-a8ad-118499e8fb02-1,Jerry loved candy.,Jerry went to the dentist office to cure his toothache.,Jerry had a lot of cavities.,Jerry ate too many candy bars.,He ate a lot every day. . ,He ate so much he got a toothache. ,Jerry's dentist said he needed to get a toothbrush. [SEP]Jerry's dentist said he needed to get a toothbrush. Jerry's dentist said he needed to get a toothbrush
2a8f57fb-3f23-4f8f-95fa-c6d6d6777dea-1,Chris loved animals very much.,She took Chris to the pet store and let him see dozens of animals!,Chris had always been to a pet store.,Chris was wanting to pet.,Chris had never been to a pet store.  did not have any pets. ,Chris was taken to the zoo but it was closed. ,Chris bought a pet. Chris bought a dog. Chris bought a dog
2a8f57fb-3f23-4f8f-95fa-c6d6d6777dea-1,Chris loved animals very much.,She took Chris to the pet store and let him see dozens of animals!,Chris mom had a big surprise.,Chris asked the pet store manager for a pet.,Chris had never been to a pet store.  did not have any pets. ,Chris was taken to the zoo but it was closed. ,Chris bought a pet. Chris bought a dog. Chris bought a dog
2a8f57fb-3f23-4f8f-95fa-c6d6d6777dea-1,Chris loved animals very much.,She took Chris to the pet store and let him see dozens of animals!,Chris was taken to the zoo but it was closed.,Chris asked his girlfriend for an animal.,Chris had never been to a pet store.  did not have any pets. ,Chris was taken to the zoo but it was closed. ,Chris bought a pet. Chris bought a dog. Chris bought a dog
2a8f57fb-3f23-4f8f-95fa-c6d6d6777dea-1,Chris loved animals very much.,She took Chris to the pet store and let him see dozens of animals!,"his mother did not like pets, but wanted to make him happy.",Chris saw a squirrel and offered her some money.,Chris had never been to a pet store.  did not have any pets. ,Chris was taken to the zoo but it was closed. ,Chris bought a pet. Chris bought a dog. Chris bought a dog
2afa9915-5f5e-45a1-90a1-c31d0e2e3713-1,Erin was sitting at home doing homework.,"By the time he came back, the bug had escaped.",A buzzing fly made him go for a swatter.,Erin looked for a bug in the couch.,Erin saw a bug and got really scared. ,Erin saw a bug and got really scared. ,Erin was very tired. Erin was playing with a mouse. Erin was playing with a mouse
2afa9915-5f5e-45a1-90a1-c31d0e2e3713-1,Erin was sitting at home doing homework.,"By the time he came back, the bug had escaped.",Erin saw a fish and got really scared so he left.,Erin noticed a bug crawling on his clothes.,Erin saw a bug and got really scared. ,Erin saw a bug and got really scared. ,Erin was very tired. Erin was playing with a mouse. Erin was playing with a mouse
2afa9915-5f5e-45a1-90a1-c31d0e2e3713-1,Erin was sitting at home doing homework.,"By the time he came back, the bug had escaped.","Erin saw a bug, so he went and grabbed a can of bug spray.",Erin thought a bug was causing the problems.,Erin saw a bug and got really scared. ,Erin saw a bug and got really scared. ,Erin was very tired. Erin was playing with a mouse. Erin was playing with a mouse
2afa9915-5f5e-45a1-90a1-c31d0e2e3713-1,Erin was sitting at home doing homework.,"By the time he came back, the bug had escaped.",Erin killed a bug to show his sister.,"Erin came home from work, and started walking into the room.",Erin saw a bug and got really scared. ,Erin saw a bug and got really scared. ,Erin was very tired. Erin was playing with a mouse. Erin was playing with a mouse
2b196bec-f35d-4aad-b959-2e85214bf43a-1,Yany invited her family and friends to a baby shower.,Everyone stopped what they were doing because of him.,Unexpectedly Yany's brother came home from Iraq and showed up at the shower.,Yany was an adult so he could shower with her kids.,Yany's husband walked in the middle of the baby shower.  came and told everyone. ,Yany's husband came home from work. ,Yany's family was very excited. Yany's family was very excited. Yany's family was very excited
2b196bec-f35d-4aad-b959-2e85214bf43a-1,Yany invited her family and friends to a baby shower.,Everyone stopped what they were doing because of him.,Yany's dog started doing tricks.,The baby ran around the house.,Yany's husband walked in the middle of the baby shower.  came and told everyone. ,Yany's husband came home from work. ,Yany's family was very excited. Yany's family was very excited. Yany's family was very excited
2b196bec-f35d-4aad-b959-2e85214bf43a-1,Yany invited her family and friends to a baby shower.,Everyone stopped what they were doing because of him.,Yany's husband came and made a huge scene at the mall.,"Her husband was there, but everybody seemed scared.",Yany's husband walked in the middle of the baby shower.  came and told everyone. ,Yany's husband came home from work. ,Yany's family was very excited. Yany's family was very excited. Yany's family was very excited
2b196bec-f35d-4aad-b959-2e85214bf43a-1,Yany invited her family and friends to a baby shower.,Everyone stopped what they were doing because of him.,Yany's husband walked in during the middle.,He gave birth to a baby.,Yany's husband walked in the middle of the baby shower.  came and told everyone. ,Yany's husband came home from work. ,Yany's family was very excited. Yany's family was very excited. Yany's family was very excited
2b196bec-f35d-4aad-b959-2e85214bf43a-1,Yany invited her family and friends to a baby shower.,Everyone stopped what they were doing because of him.,Yany's husband never found out about the baby shower.,Yany's parents also wanted their baby.,Yany's husband walked in the middle of the baby shower.  came and told everyone. ,Yany's husband came home from work. ,Yany's family was very excited. Yany's family was very excited. Yany's family was very excited
2b543413-3b43-4bd0-b517-baa3fc1d1e3e-1,Tim was a salesman.,Tim even convinced them to get an extended warranty.,Tim sold the neighbors a washer.,Tim broke a car.,Tim sold the neighbors a washer.  came to him. ,Tim sold an expensive item. ,Tim was able to get a new one. [SEP]Tim was able to get a new one. Tim was able to get a new one
2b543413-3b43-4bd0-b517-baa3fc1d1e3e-1,Tim was a salesman.,Tim even convinced them to get an extended warranty.,Tim didn't make a sale by being very knowledgeable.,Tim's extended warranty<|beginobs1|>Tim did an awful job delivering items to the customers.,Tim sold the neighbors a washer.  came to him. ,Tim sold an expensive item. ,Tim was able to get a new one. [SEP]Tim was able to get a new one. Tim was able to get a new one
2b543413-3b43-4bd0-b517-baa3fc1d1e3e-1,Tim was a salesman.,Tim even convinced them to get an extended warranty.,Tim sold an expensive item.,Tim made a big deal about an extreme case of extreme temperature.,Tim sold the neighbors a washer.  came to him. ,Tim sold an expensive item. ,Tim was able to get a new one. [SEP]Tim was able to get a new one. Tim was able to get a new one
2b543413-3b43-4bd0-b517-baa3fc1d1e3e-1,Tim was a salesman.,Tim even convinced them to get an extended warranty.,Tim sold the family a whole living room set.,Tim's sold his outdoor advertising.,Tim sold the neighbors a washer.  came to him. ,Tim sold an expensive item. ,Tim was able to get a new one. [SEP]Tim was able to get a new one. Tim was able to get a new one
2b5675aa-b214-47df-a125-82e0579f939e1,Brandon lives in Clearwater.,Brandon then became a regular fisherman.,Brandon likes to visit the ocean everyday.,Brandon went fishing everyday with his dad.,Brandon likes to visit the ocean everyday.  is that Bob likes the color of the day. ,Brandon likes to visit the ocean everyday. ,Brandon was very happy to be able to live in the city. [SEP]Brandon decided to move to the city. Brandon decided to move to the city
2b5675aa-b214-47df-a125-82e0579f939e1,Brandon lives in Clearwater.,Brandon then became a regular fisherman.,He mined daily as a child.,Brandon's friends said he could fish all year.,Brandon likes to visit the ocean everyday.  is that Bob likes the color of the day. ,Brandon likes to visit the ocean everyday. ,Brandon was very happy to be able to live in the city. [SEP]Brandon decided to move to the city. Brandon decided to move to the city
2b568052-7bbb-418c-b355-f8f262bb411e-1,Jim never owned a boat before.,Jim lost his boat to the bottom of the lake.,He always kept it in storage.,Jim got some cheap fishing gear and realized he didn't have money.,Jim didn't not know how to pilot a boat.  and came toAfter again. ,Jim didn't not know how to pilot a boat. ,Jim was very scared of the boat. [SEP]Jim was scared of the boat. Jim was scared of the boat
2b568052-7bbb-418c-b355-f8f262bb411e-1,Jim never owned a boat before.,Jim lost his boat to the bottom of the lake.,Jim didn't not know how to pilot a boat.,Jim bought a boat and now used it to sail.,Jim didn't not know how to pilot a boat.  and came toAfter again. ,Jim didn't not know how to pilot a boat. ,Jim was very scared of the boat. [SEP]Jim was scared of the boat. Jim was scared of the boat
2b568052-7bbb-418c-b355-f8f262bb411e-1,Jim never owned a boat before.,Jim lost his boat to the bottom of the lake.,Jim finally got one and fixed it up.,Jim thought his boat is no different than the rest.,Jim didn't not know how to pilot a boat.  and came toAfter again. ,Jim didn't not know how to pilot a boat. ,Jim was very scared of the boat. [SEP]Jim was scared of the boat. Jim was scared of the boat
2b568052-7bbb-418c-b355-f8f262bb411e-1,Jim never owned a boat before.,Jim lost his boat to the bottom of the lake.,"Jim raced out onto the lake, but he forgot to install the boat's drain plug and the boat filled with water before he could return to shore.",Jim decided to buy a boat.,Jim didn't not know how to pilot a boat.  and came toAfter again. ,Jim didn't not know how to pilot a boat. ,Jim was very scared of the boat. [SEP]Jim was scared of the boat. Jim was scared of the boat
2b731f8c-6824-42df-b210-9ef53cccf519-1,Charles learned to be creative from his grandmother.,Then she carved a basket out of a watermelon and put the chunks in.,"Charles grandmother had a pie."".","Charles, came up with a technique.",Charles grandmother had a watermelon.  came to get in the sun and started to light,Charles grandmother had a watermelon. ,Charles was very creative. Charles made a basket of watermelon. Charles made a basket of watermelon
2b731f8c-6824-42df-b210-9ef53cccf519-1,Charles learned to be creative from his grandmother.,Then she carved a basket out of a watermelon and put the chunks in.,Charles helped his grandmother open a pumpkin.,Charles was happy he had an idea.,Charles grandmother had a watermelon.  came to get in the sun and started to light,Charles grandmother had a watermelon. ,Charles was very creative. Charles made a basket of watermelon. Charles made a basket of watermelon
2b731f8c-6824-42df-b210-9ef53cccf519-1,Charles learned to be creative from his grandmother.,Then she carved a basket out of a watermelon and put the chunks in.,Charles' grandmother made a basket from food.,Charles decided to give it a try.,Charles grandmother had a watermelon.  came to get in the sun and started to light,Charles grandmother had a watermelon. ,Charles was very creative. Charles made a basket of watermelon. Charles made a basket of watermelon
2b731f8c-6824-42df-b210-9ef53cccf519-1,Charles learned to be creative from his grandmother.,Then she carved a basket out of a watermelon and put the chunks in.,Charles helped his grandmother with crafting one day.,Charles spent a lot of time looking for the right places.,Charles grandmother had a watermelon.  came to get in the sun and started to light,Charles grandmother had a watermelon. ,Charles was very creative. Charles made a basket of watermelon. Charles made a basket of watermelon
2b8005af-548d-43d6-aefa-3b933a393938-1,Kay's cat Vina had 4 kittens.,By the end of the week all the kittens had new homes.,Kay advertised that she had kittens to give away.,Kay and Vina spent hours searching kittens.,Kay put the kittens up for adoption. . ,They sold the kittens. ,Kay's cat Vina was adopted. Kay's cat Vina was very sick. Kay's cat Vina was very sick
2b8005af-548d-43d6-aefa-3b933a393938-1,Kay's cat Vina had 4 kittens.,By the end of the week all the kittens had new homes.,Kay put the kittens up on the window sill.,Kay adopted and named all her kittens.,Kay put the kittens up for adoption. . ,They sold the kittens. ,Kay's cat Vina was adopted. Kay's cat Vina was very sick. Kay's cat Vina was very sick
2b8005af-548d-43d6-aefa-3b933a393938-1,Kay's cat Vina had 4 kittens.,By the end of the week all the kittens had new homes.,They bought the dogs.,Kay adopted all 4 kittens.,Kay put the kittens up for adoption. . ,They sold the kittens. ,Kay's cat Vina was adopted. Kay's cat Vina was very sick. Kay's cat Vina was very sick
2b8ba97c-9fbd-4e51-8d66-1c8ddbafd24c-1,Bill loved to play in the forest.,Bill was happy to be home with his mother!,"Bill got lost one day, but finally made it home.",Bill heard that there were more tigers at the park.,Bill was playing in the forest.  was cold and Bill's favorite time. ,Bill went hiking in the forest. ,Bill's mother was very happy. Bill's mother gave him a gift. Bill's mother gave him a gift
2b8ba97c-9fbd-4e51-8d66-1c8ddbafd24c-1,Bill loved to play in the forest.,Bill was happy to be home with his mother!,Bill had gotten lost in the forest.,Bill started spending the weekend foresting.,Bill was playing in the forest.  was cold and Bill's favorite time. ,Bill went hiking in the forest. ,Bill's mother was very happy. Bill's mother gave him a gift. Bill's mother gave him a gift
2b8ba97c-9fbd-4e51-8d66-1c8ddbafd24c-1,Bill loved to play in the forest.,Bill was happy to be home with his mother!,Bill was playing in the forest and got bit by a bear.,Bill couldn't wait to play.,Bill was playing in the forest.  was cold and Bill's favorite time. ,Bill went hiking in the forest. ,Bill's mother was very happy. Bill's mother gave him a gift. Bill's mother gave him a gift
2b8ba97c-9fbd-4e51-8d66-1c8ddbafd24c-1,Bill loved to play in the forest.,Bill was happy to be home with his mother!,Bill got lost in the forest and was rescued.,Bill was invited to play in the forest.,Bill was playing in the forest.  was cold and Bill's favorite time. ,Bill went hiking in the forest. ,Bill's mother was very happy. Bill's mother gave him a gift. Bill's mother gave him a gift
2b8ba97c-9fbd-4e51-8d66-1c8ddbafd24c-1,Bill loved to play in the forest.,Bill was happy to be home with his mother!,One day he got lost. After a few decades he never found his way home.,"Bill, was camping all week.",Bill was playing in the forest.  was cold and Bill's favorite time. ,Bill went hiking in the forest. ,Bill's mother was very happy. Bill's mother gave him a gift. Bill's mother gave him a gift
2b954bd3-7c5b-453b-a878-adc1fae46fcc-1,"I got my first record player in the mail, but had no records.","Unfortunately, I found out then that the record player was broken.",I went to the store and bought a record.,I returned the record player but it was not secure.,I went to the store and bought a record.  I saw was broken. ,I went to the store to buy new record. ,I bought a new record player. I accidentally plugged the record player into the wall. I accidentally plugged the record player into the wall
2b954bd3-7c5b-453b-a878-adc1fae46fcc-1,"I got my first record player in the mail, but had no records.","Unfortunately, I found out then that the record player was broken.",I ordered a pair of shoes online and waited a week to receive it.,I wanted to do some research online.,I went to the store and bought a record.  I saw was broken. ,I went to the store to buy new record. ,I bought a new record player. I accidentally plugged the record player into the wall. I accidentally plugged the record player into the wall
2b954bd3-7c5b-453b-a878-adc1fae46fcc-1,"I got my first record player in the mail, but had no records.","Unfortunately, I found out then that the record player was broken.",I took a long time before I tried a record out.,I asked my fiance if he had any records.,I went to the store and bought a record.  I saw was broken. ,I went to the store to buy new record. ,I bought a new record player. I accidentally plugged the record player into the wall. I accidentally plugged the record player into the wall
2b954bd3-7c5b-453b-a878-adc1fae46fcc-1,"I got my first record player in the mail, but had no records.","Unfortunately, I found out then that the record player was broken.",I went and got a CD but it would not play.,The records made no sense.,I went to the store and bought a record.  I saw was broken. ,I went to the store to buy new record. ,I bought a new record player. I accidentally plugged the record player into the wall. I accidentally plugged the record player into the wall
2b954bd3-7c5b-453b-a878-adc1fae46fcc-1,"I got my first record player in the mail, but had no records.","Unfortunately, I found out then that the record player was broken.",i went to a store to shop for records.,I wanted to do things with the record player I bought.,I went to the store and bought a record.  I saw was broken. ,I went to the store to buy new record. ,I bought a new record player. I accidentally plugged the record player into the wall. I accidentally plugged the record player into the wall
2ba09540-2b0d-4d4e-9894-0e964db0789b-1,Mike went on a fishing trip with his daughter.,He reeled the big fish in and took a picture of it with his daughter.,His daughter caught a huge spider.,Mike decided to go with his daughter because his daughter is an avid fisherman.,Mike got a high quality rod.  and got a high quality. ,His daughter caught a huge fish. ,Mike caught a big fish. Mike's daughter caught a fish. Mike's daughter caught a fish
2ba09540-2b0d-4d4e-9894-0e964db0789b-1,Mike went on a fishing trip with his daughter.,He reeled the big fish in and took a picture of it with his daughter.,Mike got a high quality hat.,Mike and his daughter caught a big fish.,Mike got a high quality rod.  and got a high quality. ,His daughter caught a huge fish. ,Mike caught a big fish. Mike's daughter caught a fish. Mike's daughter caught a fish
2ba09540-2b0d-4d4e-9894-0e964db0789b-1,Mike went on a fishing trip with his daughter.,He reeled the big fish in and took a picture of it with his daughter.,Mike didn't catch any fish.,Mike bought a fish.,Mike got a high quality rod.  and got a high quality. ,His daughter caught a huge fish. ,Mike caught a big fish. Mike's daughter caught a fish. Mike's daughter caught a fish
2ba09540-2b0d-4d4e-9894-0e964db0789b-1,Mike went on a fishing trip with his daughter.,He reeled the big fish in and took a picture of it with his daughter.,They had extra good bait.,Mike found a big fish and took a picture.,Mike got a high quality rod.  and got a high quality. ,His daughter caught a huge fish. ,Mike caught a big fish. Mike's daughter caught a fish. Mike's daughter caught a fish
2ba09540-2b0d-4d4e-9894-0e964db0789b-1,Mike went on a fishing trip with his daughter.,He reeled the big fish in and took a picture of it with his daughter.,"ten minutes in, she got a huge bite.","Mike thought it was going to big, but discovered it was just a small fish.",Mike got a high quality rod.  and got a high quality. ,His daughter caught a huge fish. ,Mike caught a big fish. Mike's daughter caught a fish. Mike's daughter caught a fish
2bb23929-7ce3-4e52-953e-878961d99440-1,Ronnie just went through a tough breakup.,He felt more at ease.,He ran into an old high school crush.,Ronnie felt a lot more alone.,Ronnie started dating again.  came into was a fun and camping. ,Ronnie had a good talk with a friend. ,Ronnie was depressed. Ronnie was depressed. Ronnie was depressed
2bb23929-7ce3-4e52-953e-878961d99440-1,Ronnie just went through a tough breakup.,He felt more at ease.,Ronnie had a good talk with a friend.,Ronnie had been known to talk to his therapist.,Ronnie started dating again.  came into was a fun and camping. ,Ronnie had a good talk with a friend. ,Ronnie was depressed. Ronnie was depressed. Ronnie was depressed
2bb23929-7ce3-4e52-953e-878961d99440-1,Ronnie just went through a tough breakup.,He felt more at ease.,Ronnie got a shark from his friends.,Ronnie knew she was still loving him.,Ronnie started dating again.  came into was a fun and camping. ,Ronnie had a good talk with a friend. ,Ronnie was depressed. Ronnie was depressed. Ronnie was depressed
2bb23929-7ce3-4e52-953e-878961d99440-1,Ronnie just went through a tough breakup.,He felt more at ease.,Ronnie couldn't find anyone new to be with.,Ronnie told everyone he loved his new boyfriend.,Ronnie started dating again.  came into was a fun and camping. ,Ronnie had a good talk with a friend. ,Ronnie was depressed. Ronnie was depressed. Ronnie was depressed
2bb23929-7ce3-4e52-953e-878961d99440-1,Ronnie just went through a tough breakup.,He felt more at ease.,Ronnie never dated again.,Ronnie got over the breakup.,Ronnie started dating again.  came into was a fun and camping. ,Ronnie had a good talk with a friend. ,Ronnie was depressed. Ronnie was depressed. Ronnie was depressed
2bb5c449-bfd3-40cb-b46a-957565065cc1-1,"James packed sandwiches, salads, and desserts to take on a picnic.","They then cleaned up trash, folded up the blanket, and went home.",After resting and relaxing James decided to sing.,"James forgot his umbrella, when he saw a stack of towels in the waiting room.",James took his kids out for a picnic.  came out today. ,James and his friend ate the food at the picnic. ,James was hungry. James got a bag of chips. James got a bag of chips
2bb5c449-bfd3-40cb-b46a-957565065cc1-1,"James packed sandwiches, salads, and desserts to take on a picnic.","They then cleaned up trash, folded up the blanket, and went home.",It started to rain.,James heard a splashed egg on the ground.,James took his kids out for a picnic.  came out today. ,James and his friend ate the food at the picnic. ,James was hungry. James got a bag of chips. James got a bag of chips
2bb5c449-bfd3-40cb-b46a-957565065cc1-1,"James packed sandwiches, salads, and desserts to take on a picnic.","They then cleaned up trash, folded up the blanket, and went home.",James and his friend ate poison.,James forgot to put a blanket on the picnic.,James took his kids out for a picnic.  came out today. ,James and his friend ate the food at the picnic. ,James was hungry. James got a bag of chips. James got a bag of chips
2bb5c449-bfd3-40cb-b46a-957565065cc1-1,"James packed sandwiches, salads, and desserts to take on a picnic.","They then cleaned up trash, folded up the blanket, and went home.",James took his kids out for a picnic.,James left the picnic in the car.,James took his kids out for a picnic.  came out today. ,James and his friend ate the food at the picnic. ,James was hungry. James got a bag of chips. James got a bag of chips
2beeaa55-02d1-448d-ab3b-526291d7525f-1,Gina washed her dad's car to his specifications.,"Gina vacuumed the inside of the car, and went to the mall.",Gina said she would give her dad some money if he did a good job.,Gina wanted to buy a new mechanic's vacuum.,Gina's dad said he would give her some money if she did a good job.  she did the car by herself. ,Gina's dad said he would give her some money if she did a good job. ,Gina cleaned the car. Gina's dad was very upset. Gina's dad was upset
2beeaa55-02d1-448d-ab3b-526291d7525f-1,Gina washed her dad's car to his specifications.,"Gina vacuumed the inside of the car, and went to the mall.",Gina was too tired to go to the mall.,Gina went back to the car.,Gina's dad said he would give her some money if she did a good job.  she did the car by herself. ,Gina's dad said he would give her some money if she did a good job. ,Gina cleaned the car. Gina's dad was very upset. Gina's dad was upset
2beeaa55-02d1-448d-ab3b-526291d7525f-1,Gina washed her dad's car to his specifications.,"Gina vacuumed the inside of the car, and went to the mall.",Gina's dad said she could go to the mall if she cleaned the mall as well.,Gina's dad got very angry and stormed off to get a job.,Gina's dad said he would give her some money if she did a good job.  she did the car by herself. ,Gina's dad said he would give her some money if she did a good job. ,Gina cleaned the car. Gina's dad was very upset. Gina's dad was upset
2beeaa55-02d1-448d-ab3b-526291d7525f-1,Gina washed her dad's car to his specifications.,"Gina vacuumed the inside of the car, and went to the mall.",Her dad told Gina she could not go shopping until she vacuumed the car.,"Gina realized dad didn't care about the car, so she bought an extra one.",Gina's dad said he would give her some money if she did a good job.  she did the car by herself. ,Gina's dad said he would give her some money if she did a good job. ,Gina cleaned the car. Gina's dad was very upset. Gina's dad was upset
2c2816ac-b8ad-4774-9ac3-76b57c0a41ed-1,Ali was going on a field trip with the whole 5th grade.,She used her allowance to purchase a new camera for the trip.,Ali was excited for her trip.,Ali was in major debt.,Ali went to the store toMike's.  was the last time she went. ,Ali was excited for her trip. ,Ali was very excited to see the sights. Ali took a trip to see the sights. Ali was very excited to see the sights
2c2816ac-b8ad-4774-9ac3-76b57c0a41ed-1,Ali was going on a field trip with the whole 5th grade.,She used her allowance to purchase a new camera for the trip.,Ali went to the store to bu things for her field trip.,Ali's allowance was thin.,Ali went to the store toMike's.  was the last time she went. ,Ali was excited for her trip. ,Ali was very excited to see the sights. Ali took a trip to see the sights. Ali was very excited to see the sights
2c2816ac-b8ad-4774-9ac3-76b57c0a41ed-1,Ali was going on a field trip with the whole 5th grade.,She used her allowance to purchase a new camera for the trip.,She didnt want any memories of the trip.,Ali was upset with her allowance.,Ali went to the store toMike's.  was the last time she went. ,Ali was excited for her trip. ,Ali was very excited to see the sights. Ali took a trip to see the sights. Ali was very excited to see the sights
2c2816ac-b8ad-4774-9ac3-76b57c0a41ed-1,Ali was going on a field trip with the whole 5th grade.,She used her allowance to purchase a new camera for the trip.,she decided to make a scrapbook to document the trip.,Ali's car got a flat and she took her camera.,Ali went to the store toMike's.  was the last time she went. ,Ali was excited for her trip. ,Ali was very excited to see the sights. Ali took a trip to see the sights. Ali was very excited to see the sights
2c2e3bc5-3cda-4c6b-9173-41e4eeaf36c71,Ashley has felt sick all day today.,Ashley went surfing.,Ashley could not fall asleep.,Ashley decided she needed to get an rest.,Ashley decided to get some fresh air.  is a major that has been in my day. ,Ashley decided to get some fresh air. ,Ashley went surfing. Ashley went surfing. Ashley went surfing
2c2e3bc5-3cda-4c6b-9173-41e4eeaf36c71,Ashley has felt sick all day today.,Ashley went surfing.,Ashley decided to get some musty air.,Ashley bought herself a brain foam.,Ashley decided to get some fresh air.  is a major that has been in my day. ,Ashley decided to get some fresh air. ,Ashley went surfing. Ashley went surfing. Ashley went surfing
2c470914-2961-4247-9542-127708640d85-1,Hailie's favorite fall activity was to go apple picking.,She filled her bag all the way up to the top.,Hailie and her family went apple picking.,she picked apples at the tree.,Hailie went to a orchard.  was a few favorite again. ,Hailie went to a orchard to pick apples. ,Hailie's mom was so excited to see her. Hailie's mom was so excited. Hailie's mom was very excited
2c470914-2961-4247-9542-127708640d85-1,Hailie's favorite fall activity was to go apple picking.,She filled her bag all the way up to the top.,Hailie went to a local orchard to pick apples.,Hailie liked the apples the best.,Hailie went to a orchard.  was a few favorite again. ,Hailie went to a orchard to pick apples. ,Hailie's mom was so excited to see her. Hailie's mom was so excited. Hailie's mom was very excited
2c470914-2961-4247-9542-127708640d85-1,Hailie's favorite fall activity was to go apple picking.,She filled her bag all the way up to the top.,Hailie went to the apple orchard.,Hailie went home and bought a bag of apples.,Hailie went to a orchard.  was a few favorite again. ,Hailie went to a orchard to pick apples. ,Hailie's mom was so excited to see her. Hailie's mom was so excited. Hailie's mom was very excited
2c470914-2961-4247-9542-127708640d85-1,Hailie's favorite fall activity was to go apple picking.,She filled her bag all the way up to the top.,Hailie went to a orchard to get fresh apples.,Hailie decided to go with friends.,Hailie went to a orchard.  was a few favorite again. ,Hailie went to a orchard to pick apples. ,Hailie's mom was so excited to see her. Hailie's mom was so excited. Hailie's mom was very excited
2c470914-2961-4247-9542-127708640d85-1,Hailie's favorite fall activity was to go apple picking.,She filled her bag all the way up to the top.,Hallie found a tree full of apples.,Hailie went with her friends.,Hailie went to a orchard.  was a few favorite again. ,Hailie went to a orchard to pick apples. ,Hailie's mom was so excited to see her. Hailie's mom was so excited. Hailie's mom was very excited
2c632725-0332-4bd2-802c-5f6a0a36121a-1,Uther arrived to the party late.,Uther was relieved and conquered some of his social anxiety.,Everybody seemed to notice.,Uther had a much more relaxed attitude.,Uther was happy because his best friend was there. [SEP]Uther was sad that he could no longer meet his friend.  came and made him happy,Uther was quickly greeted and greeted by others. ,Uther was very nervous about the party. [SEP]Uther was nervous about the party. Uther was nervous about the party
2c632725-0332-4bd2-802c-5f6a0a36121a-1,Uther arrived to the party late.,Uther was relieved and conquered some of his social anxiety.,Uther was quickly greeted and welcomed.,Uther felt much less alone.,Uther was happy because his best friend was there. [SEP]Uther was sad that he could no longer meet his friend.  came and made him happy,Uther was quickly greeted and greeted by others. ,Uther was very nervous about the party. [SEP]Uther was nervous about the party. Uther was nervous about the party
