observation1, observation2, generated hypothesis, real hypothesis
Alec works at the renaissance fair.,They had to make it seem like part of the act.,Alec was being charged with fraud. he was caught stealing. to get a job,Alec's phone started ringing during a performance.
Matt wanted to go back in time.,He never succeeded because time travel is probably impossible.,Matt tried to go to space but never made it. So he decided to travel to space instead. i wanted to travel,matt had a drug problem but decided to try to build a time machine.
In 2005 I took my first roller coaster ride in thirty years.,It was a great ride and I am no longer afraid of roller coasters.,I rode the roller coaster twice. I was nervous about it. I was scared of the roller coaster,I thought it would be too scary and loud.
Today we went on a plane ride.,I am no longer afraid of planes.,The plane ride was very scary. The plane ride was very scary. i was terrified,We took a return flight back home and there was no turbulence.
Every Tuesday I meet my grandfather for coffee.,Our coffee time ended early so he could go home and take a nap.,We have a long day at work. We have to go to the store. i had to leave,My grandfather was sleepy.
Kaya needed to buy a new dress for the upcoming Spring Formal.,It was kind of expensive but she decided it was worth it.,She went to the store and found a dress she liked. She decided to look for a new dress.  buys a dress,Kaya saw a unique dress that would perfectly fit the Spring Formal occasion.
Sue needs a haircut.,Sue goes home and cries about her haircut.,Sue's hair is ruined. [SEP]Sue cut her hair too short. Sue cut her hair,Sue went to a beauty school to get it cut.
A tree fell in Ray's backyard.,Every time he opened the shed he recited the poem.,Ray was inspired by a poem he heard in his living room. Ray decided to write a poem about the tree. Ray decided to open a shed,Ray had to get the machine saw in the shed but the door was hard to open.
Timothy loved to dance.,Everyone loved his dancing and he won the contest.,Timothy entered a dance contest. So he decided to enter a dance contest. So he decided to enter a dance contest,Timothy participated in a dancing contest.
Eric got a new cell phone.,The teacher laughed so much that he didn't care about punishing Eric.,Eric dropped his phone in the classroom. Eric was careless with his phone. He accidentally dropped it,Erics phone rang in class.
Sarah woke early to do her chores around the house.,Sarah's husband came home with flowers to cheer her up.,Sarah's husband was coming home early. Sarah needed to get her chores done. Sarah needed to get a bouquet of flowers,Sarah started laundry when the washer broke and the vacuum cleaner shorted out.
Sam was riding the bus.,After a while the music had him completely relaxed.,Sam was nervous about the music. The music was loud. The music was on the bus,Sam was nervous about the bus ride.
Ian was at his friend's house.,Ian had to walk home in the dark.,Ian got lost in the forest. Ian went to the woods. Ian was scared of the dark,Ian stayed at his friends house too long and it was dark out when he left.
Stu tore his sisters penguin plushie while arguing with her.,When he them to his sister she forgot about the penguin completely.,Stu's sister was angry with him. She told him she didn't like him. i told her sister he didn't like her,Stu bought his sister a whole bunch of penguin plushies.
Bob wanted a hamburger.,Bob went out to McDonald's later that evening.,Bob's order was good but he had a hamburger. So he went to the store. So he had to order a burger,Bob waited patiently and resisted the urge to order online.
John thought he was the best video game player ever.,John learned he wasn't as good as he thought he was.,John's friends complained about his lack of skill. John was not good at playing video games. So he tried to play video games,John challenged Benny and lost.
Joey took his kite to the park.,He had a great time flying his kite all afternoon!,Joey's kite got stuck in a tree. He tried to fly his kite. He was trying to get it to higher,The wind was brisk and the park was empty.
Chris wanted to try out for the school soccer team.,Chris made the soccer team!,Chris practiced hard and tried out for the team. So he made the team. So he made the team,Chris practiced before the tryouts.
Ronald had a girlfriend named Stephanie.,Ronald didn't care he was planning to kill Stephanie later.,He wanted to get revenge on her. Ronald was arrested for stealing. Ronald stole a car,Stephanie loved Ronald very much.
They reached the eastern boundary of the wilderness at noon.,Zeke sold the images to doctor offices for a tidy sum of money.,Zeke took pictures of animals and people. Zeke took a lot of pictures. Zeke took a lot of pictures,Zeke took many pictures of the beautiful scenery.
Alex needed groceries.,She bought the groceries.,Alex went to the grocery store. alex went to the store. alex went to the store,She went to the grocery store.
Joe went to the movie theater to see the new movie.,Joe casually walked into the movie and gave a sigh.,Joe was told the movie was going to be good. Joe was nervous. to see the movie,The movie theater didn't have tickets for the new movie.
Audrey was afraid to try new foods.,Audrey surprisingly fell in love with their restaurant and food.,Audrey decided to try a new restaurant. Audrey went to a new restaurant. Audrey liked the food,Audrey went to a new style of restaurant.
Tony was making a pizza in his restaurant.,Tony grabbed his special fire extinguisher and put out the flames.,Tony's pizza got caught on fire. Tony set the pizza on fire. Tony accidentally set the pizza on fire,Tony placed the pizza in the oven without setting a timer. His pizza caught flames after an hour of cooking.
George hated going to school.,She was very upset and took George home.,George's mom found out he was bad. George's teacher told him he was not allowed to leave. i asked if he could stay,George Playedx hooky all time and lied to Sara.People don't lik.
Everyone in my family got together for Thanksgiving.,We all eventually couldn't stop arguing with one another.,My family and I were fighting. We had a long Thanksgiving. We had a long Thanksgiving,My family disagreed about politics.
Kim loves to swim.,She saved up enough and now has a pool in her backyard!,Kim decided to buy a pool. She wanted to swim. So she went to the store,Kim got a second job and banked all her paychecks.
Matt collected acorns.,Matt happily gave all of his acorns to the hungry squirrel.,Matt went to the woods to gather acorns. He found a squirrel. He went to the woods to gather acorns,There was a squirrel scavenging for acorns next to Matt.
Kathy was responsible for buying the groceries.,Now Kathy never goes shopping without planning and a list.,Kathy's husband was in charge of purchasing the groceries. Kathy's husband was in charge of the grocery shopping. Kathy knew what to buy,She always used to forget things.
Ed liked to drink but he often got carried away.,Ed has not touched a drink since her birth seven years ago.,One day Ed's mother gave him a bottle of water. So he decided to get a drink. So he drank a lot of water,Ed wanted to be a good father when his daughter was born.
The phone rang and I answered it.,That's how I met your mother.,I was answering the phone. I was answering the phone. I was answering the phone,It was a wrong number who had lovely voice.
Troy got a Great Dane pup last Friday.,He's spent hours every day trying to train him since then.,Troy's dog was very feisty. He was scared by the dog. He was scared by a dog,The puppy tore up the pillows and destroyed his model airplane.
Greg was at home bored.,Greg was happy he wasn't bored anymore.,Greg went to the park and played with his friends. Greg decided to go to the park. He got lost,Greg decided to go buy a video game.
Billy was five Year's old.,Billy got a quarter from the tooth-fairy.,Billy had a tooth-fishing contest. Billy didn't win the contest. Billy didn't win the contest,billy pulled one of his tooth.
Rita was having a very difficult time at work.,Their relationships improved.,Rita and her friends decided to work out. She decided to meet new people. She decided to meet new people,For a time her co-worker was challenging.
It had snowed the night before.,Afterwards he was able to successfully back out his car.,The snow had cleared up a lot of snow. So he drove to the nearest ski resort. So he had to rush to get to the ski resort,Bob dug his car out of the snow.
Gary had trouble drinking enough water throughout the day.,He decided to ditch the alarm clock.,Gary's alarm clock started going off. He was worried about getting lost. He was worried about getting lost,It felt like a chore to Gary to drink a glass of water every time his alarm went off.
We went camping on time when I was younger.,We made sure to not go back there again.,We got burned by a fire. We were camping in the woods. We were camping in the woods,it wasn't always the most fun times however.
Sam loved breakfast.,Sam decided to never eat waffles again.,Sam's waffle maker broke and he burnt the waffle. Sam made waffles. Sam made waffles,Sam accidentally burnt waffles.
Joe robbed a bank.,Soon Joe got caught.,Joe was trying to rob a bank. Joe was caught and questioned. Joe went to the bank to rob the bank,Joe tried to excape.
Jane lost her dog.,Jane was glad and excited.,Jane's dog had been missing for 2 weeks. [SEP]Jane was so excited and couldn't wait to find her new dog. [SEP]Jane's dog was gone for 2 weeks,Jane then found her dog.
One day snow and ice covered the ground.,Thankfully Jimmy was okay.,Jimmy fell in the snow. He was sledding down a hill. So Jimmy fell off the sled,Jimmy didn't notice and slipped on the ice.
One Saturday spring morning I loaded up to play golf with the guys.,When I visited him at the hospital the nurse said he will be okay.,I fell in the woods and broke my finger. I hurt myself playing golf. I hit a golf ball,My friend got hit in the head by a gold ball.
Ann loved cake.,Ann came inside and watched as cakes were being made.,Ann decided to make a cake. Ann wanted to make a cake. So she made a cake,The local baker let Ann come into the workshop for a tour.
Max decides that he spends too much money buying food at restaurants.,He is very happy to be saving money by cooking at home.,Max decided to cook at home instead. So he decided to cook at home instead. i had to cook at home,Max found some great recipes to cook at home.
There are two phases to body building.,Apparently if you do these two things you will look amazing.,The first phase is for people to start working out. They are both very tall. So far nobody has heard a positive feedback,It is important that you work on both phases.
Robbie was confused by his homework.,Robbie felt lonely and sat down to cry.,Robbie did not study and did not finish it. So he asked his parents for help. i asked for help,Robbie kept getting different math answers for same problem.
Luis wanted to make money when he grew up.,Now he has a good paying job and a nice family.,Luis started his own company. So he got a job at a local dealership. i worked hard,Luis attended university and studied very hard.
Tom was looking through his pantry for a snack.,The bug crawled away and Tom lost his appetite.,Tom saw a bug in his pantry. The bugs bite Tom. He grabbed a bug,He saw a huge bug crawl near him and he hates bugs.
Debbie lost her mother when Debbie was only 15.,Debbie lived a long a fulfilling life with her husband and 4 boys.,Debbie's husband died and Debbie moved away. i was devastated by Debbie's passing. i knew that she loved her husband,Debbie met a man.
Today was the first day of school.,I hate school.,I was kicked out of class and grounded. I was late for class. I was late for class,My teacher was mean and the other students laughed at my shirt.
I approached the bridge in the rainy rounding a curve.,I really came to appreciate that day how well that bridge was built!,I was anxious to get to the bridge. I was worried about heights. I didn't know how to get to the bridge,I suddenly skidded and hit the side of the bridge.
John went on a camping trip with his brother Mark.,At that moment a skunk walked right into their tent.,John and Mark were camping. john and his brother saw a skunk. john and his brother decided to climb a tree,At the camping site the brothers unloaded their car put up the tent and rolled out the sleeping bags.
Paul's car broke down shortly after leaving the driveway.,Paul then realized attempting repairs yourself can be expensive.,Paul's car broke down on the way to the mechanic. Paul couldn't afford to pay for repairs. it was too expensive,Paul's repair had completely fallen apart.
Oscar never made his bed.,She yelled at him.,Oscar's mother made him sleep in his bed. Oscar's mother made him sleep in his bed. He was upset when his mother made him sleep in his bed,Oscar's mom asked him to make his bed every day.
Kayla was trying to come up with baby names for her baby.,Now Kayla had a baby name they both liked.,Kayla's husband tried to come up with a name for her baby. Kayla's husband wanted to name her a baby. Kayla's husband wanted to name her a baby,Kayla’s husband hated all the names she mentioned.
My friends and I went to six flags last weekend.,I vowed to never go on it again.,I got into a car wreck on one of the flags. I decided to go on a trip. I had a great time on the trip,I vomited on the roller coaster.
Jane admired the music of The Doors.,Jane knew it was hard work but persevered with her idols in mind.,Jane became an artist. So she decided to form a band. So she wanted to be like her idols,Jane wanted to become a musician too.
Henry was racing to get to work one morning.,He handed Henry a ticket for speeding!,Henry was pulled over by the police. He was speeding and got pulled over. He was driving and got pulled over,He got pulled over.
Sam went for a ride in Shanghai with his family.,The man accepted then ripped the dollar in front of his eyes.,Sam bought a dollar on the way to China. he wanted to buy a new car. he bought a dollar,Sam didnt change the currency of money.
The gavel rang out across the room after the sentence was given.,I could feel the sharp bristles of the rope tighten around my neck.,I was trying to tie a rope. I was trying to tie a rope. I knew someone was trying to tie me,It was a life sentence without parole. I don't know if I can take life in prison.
The river was full people rafting down on inner tubes.,The guy looked around and wondered how long he was asleep.,The guy was so tired he fell asleep. He was so tired he didn't sleep. So he slept in the river,one guy fell asleep in his raft.
Paula goes on a dinner date.,Paula waits around to get the waiters number.,Paula was asked to wait by a man. The man was very rude. Paula was asked to wait by a man,Paula is more attracted to the waiter than her date.
Paul realized he was becoming less healthy in his old age.,He was very happy to have adopted a healthier lifestyle.,Paul decided to start eating less meat. So he started eating less meat. So he started eating more meat,He joined a gym and spoke to a nutrionist.
Martin was a friendly guy.,She dried her eyes smiled and waved back.,Martin's sister came by and asked for a cup of tea. She wanted to talk to her boyfriend. i asked for a cup of tea,Martin waved to the sad girl wqlking by.
Kelly was happy to have her new phone.,Kelly bought a new phone.,Kelly's parents bought her a new phone. Kelly's parents got her a new phone. Kelly wanted to buy it,She didn't like it after she brought it home.
Mia sat at home in her living room watching sports.,Mia cheered loudly and thought that she helped score that goal.,Mia was a soccer player. She scored the goal for her team. She scored the goal for her team,Mia held her breath as her team was about to score so that she wouldn't jinx it.
Mary like to feed the pigeons on her roof.,Mary went back downstairs and hoped for the pigeons return.,Mary saw some pigeons outside and was worried. She was worried about them. So she went to the park,Mary climbed to the rooftop to scatter some seeds.
Sally drives everyday to work.,Luckily she stopped in time but almost hit the kitten.,Sally saw a kitten on the side of the road. She was driving and couldn't stop. She was driving and couldn't stop,Sally's almost could not stop when she pressed her breaks.
Herman was getting tired of his store-bought coffee.,He kept improving and in time was brewing great coffee.,Herman decided to try making his own coffee. So he decided to try making his own. So he decided to try it,Herman decided to grind his own coffee beans.
Fred decided to walk home from school one day.,Luckily he ran into a classmate who invited him inside.,Fred was late getting home from school. He was late and needed to walk home. He was late to school,It started down pouring.
Yesterday my iron broke.,Thankfully I got a new one.,I couldn't get it fixed. I dropped my car tire. I drove to the nearest repair shop,I attempted to fix it myself.
A bear wandered through the woods.,Satisfied with the catch and the fish it returned home to sleep.,A bear was found by a fisherman. He caught a fish. He went fishing,The bear caught some fish and ate it.
Alice needed a new computer.,Alice was upset to leave the store without a new computer.,She went to the store but the computer was broken. Alice didn't have enough money. Alice went to the store,Alice could not find a well priced computer.
Ana needed gas in her car.,Ana filled her tank at the reservation!,Ana got a new car. Ana went to the gas station. Ana had to fill up her car,Gas was cheaper at the reservation.
May came home and saw her flower vase broken.,May didn't believe him but he swore it wasn't his fault.,May's mother found out and found out the vase was broken. he lied to her. he lied to her,May blamed her boyfriend.
Sam was working in the garden.,He got her a terrarium and has kept her as a pet ever since.,Sam's cat knocked over a vase. Sam's cat knocked over a vase. She was upset,Sam found a frog.
Lyn spoke with a stutter.,In a few months it had vanished entirely!,Lyn's mother found out she was in trouble. She was a very nervous woman. She was nervous about her speech,Lyn sought treatment and it helped.
Dan and Stan were playing mini-golf against each other.,Stan concentrated on his final stroke and got a hole in one.,Dan and Stan were getting ready for a close 72 to 71 win. They played every day. They had a lot of fun,Can was in the lead.
Derek has had it with dean.,Dean did not talk to him again.,Derek made a scene at the school. He had to go to the hospital. He had a bad fight with the dean,Derek yelled at Dean.
Bob had been grounded for receiving bad grades at school.,Bob was able to return back to his room without his parents noticing.,Bob's parents were mad he was in trouble. i told him to go to the principal's office. i told him he was not allowed to leave,Bob snuck out of his room.
Tom decided to go for a hike.,Tom was able to finish his hike.,Tom hiked a loop trail. He decided to go hiking. So he decided to go for it,A park ranger stopped Tom and warned of a baby fawn.
Joe went to the store to buy some dinner plates.,Joe walked away and told no one.,Joe found out the plates were for a wedding. Joe was asked to pick up the plates. he was asked to pick them up,Joe knocked down and broke some of the plates.
I put the black plastic rose in a vase with water.,After a few weeks the flower died.,The rose grew in the water and was very brittle. I put the rose in a glass vase. i put the rose in the vase,I replaced it with a real rose.
Bob and Dave decided to go camping on the weekend.,Dave chuckled and told Bob he was right about the trip.,Dave's friend Bob told him he was wrong. i asked Dave if he'd like to go. i said he would,Bob showed Dave all the camping supplies he previously bought.
The puppy scratched at the door.,The puppy looked very happy as it ran in the yard.,A puppy was running around outside happily. [SEP]The puppy heard a loud noise. The puppy ran out the door,But nobody threatens the puppy.
It was time for Mary to get a flu shot.,Mary got flu the following week.,Mary went to the doctor. Mary went to the doctor. Mary went to the doctor,She decided to go shopping instead.
Eric walked through the city park on his way to a bar.,Eric ran off and hoped that he was not being chased.,A man was chasing Eric. He was chased by a dog. He ran into a man,A man tried to rob Eric.
It wouldn't be untrue to say that Jim was a bit obsessive.,The next morning he saw that his little figurine had been moved.,Jim's mom took her to see if she was okay. she was upset. she was upset,Jim kept everything in its place.
Bill was recently invited to the movies with a coworker.,Bill was mortified of horror movies as he always has nightmares.,Bill hated the movie. he was afraid of the new horror movie. he was afraid of the new horror movie,Bill was happy to be invited by his co-worker.
The girls went to a bar.,They got into the plane.,The girls went to the club. They had a good time. They went to the club,The girls met a millionaire who invited him on his plane.
Maddie was feeling sick.,On a tray he had her medicine and a surprise bowl of ice cream.,Maddie's doctor told her she needed to rest. So she went to the doctor. So she went to the doctor,Maddie's boyfriend decided to take care of her while she was sick.
Yul needed to wrap a gift.,Yul then stuck a bow on top of the box.,Yul bought a box of low hanging paper. Yul needed to wrap a gift. Yul put the paper in a bag,Yul drew on the box to decorate it instead.
Kara found a ring on the ground.,Kara was disappointed.,It was not the ring she wanted. Kara looked for the ring. Kara looked for the ring,However it wasn't a real diamond.
This morning I was on the couch when I felt my nose start to drip.,After a few moments the bleeding finally stopped.,I took a deep breath and brushed my nose. I brushed my teeth. I went to the dentist,I quickly realized it was blood.
Lou liked to feed stray animals.,The cat has been Lou's best companion since.,Lou adopted a cat from the shelter. Lou decided to feed the stray cats. he wanted to help them,Lou left cat food outside his back porch every day.
Sam had really bad social anxiety.,Sam's social anxiety decreased after exposing herself to more people.,Sam decided to expose herself to more people. she was afraid of people. she was afraid of being in the news,Sam had to go out and meet people to get rid of it.
Sadie was excited.,She knew there were millions of other publishing agencies to try.,Sadie wanted to start her own business. She wanted to start her own business. She wanted to start her own business,She finished writing a book and sent it to one publisher.
I just got my braces removed.,Alas I got a cavity soon after for eating too much gum.,I decided to eat healthier. [SEP]I ate a lot of gum. I ate a lot of gum,I was thrilled to eat forbidden foods again.
Tay was having a yard sale.,After the sale she had made more than enough cash!,Tay sold all her old clothes. She decided to sell some of her old clothes. So she sold all of her old clothes,Tay wanted to make enough money to buy a bike.
I had my college prom in The Field Museum,He asked me to marry him I said No.,I really liked him. I really liked him. i was nervous about the guy,My date was a sweet boy.
Sahara was digging through the car.,She was so mad at them for opening the game that she took it back.,She found a dead rat in the car. She found a dead rat. She dug up the car,She found the package holding the game she bought her son for his birthday.
Franklin was an only child and had never had a roommate before.,They discovered they had a lot in common and Franklin was reassured.,Franklin's parents moved out of town. his parents moved out. his parents moved out,Franklin talked to his roommate.
It was Judy's birthday.,Candy came out and fell everywhere.,She opened her gift and saw a piece of candy. So she bought a bunch of candy. Candy knew her mother wanted to buy her a gift,Judy has a pinata party.
It was starting to get cold outside.,The Smith family was able to stay warm throughout the entire winter.,The snow started to move in. The snow started to accumulate. The snow piled up on the driveway,Dad went out and started chopping wood for kindle.
A third base coach gave the wrong sign to a player on first.,That was the third out and the inning was over.,The player was not allowed to leave the field. he was a little late. he was a little late,The player tried to steal second and was tagged out.
Eli had been thinking about planting a garden.,He realized that the work was worth it and was quite pleased.,Eli planted a lot of vegetables. He planted a lot of vegetables. So he spent a lot of time on the garden,Over the summer Eli came to realize how much work keeping up on a garden was.
Alex was home alone on a Friday night.,Three friends were there to visit him and they had a wonderful night.,Alex's friends invited him to a party. ale was invited to a party. ale invited all of his friends,Alexposted on facebook that he was lonely at home.
Anna and her friends needed something to do.,They still laughed and had fun.,Anna and her friends went to the park. They decided to go to the park. They decided to go to the park,They went to the park but it was raining.
Julie had a coworker named Barry who loved to make trouble for others.,Julie gave Barry a hug and thanked him.,Julie's coworker Barry was a good person. Julie wanted to talk to him. Julie wanted to talk to him,Barry apologized for making fun of her hair.
I order a dinner meal by my local restaurant.,Since I didn't have the money the restaurant gave me a fine.,I returned a restaurant with the wrong item. I ordered a steak and it was not cooked well enough. I had to cook it,When the check arrived I realized I did not have the money to pay for my meal.
We celebrated Chinese New Year on February 7th.,We rang in the new year by watching a youtube video of fireworks.,We had a lot of fun at the party. We had a big party. We had a big party,It was a very cold day so we opted to stay home.
Peter had bought his dad a watch for Christmas.,But then his dad smiled and Peter knew he loved the gift!,Peter's dad was very upset. Peter did not get the watch he wanted. Peter asked his dad for it,When he opened the gift he showed no emotion.
Joe and Rafael wanted to see who can cook better wings.,The family agreed that Joe's wings were better.,Joe decided to try a new recipe for wings. So he tried a new recipe. So he decided to try a new recipe,Joe and Rafael had a cook off later that week.
A man went to a katare school to take lessons.,The sensei blocked the attack and punched the foolish man.,The man was trying to get a katana. The man was attacked by a kataman. The man was attacked by a kataman,The man fought the sen.
I play violin and take a lot of orchestra auditions.,I am now a member of the symphony and love my job.,I decided to join the orchestra. I had a great time. i worked hard to join the orchestra,I practice many hours a week.
Tom needed one more quarter for bus fare.,He felt lucky as he headed to the bus stop.,Tom got a quarter. He had to pay for the bus fare. He had to go to the bus stop,Tom found a quarter on the ground.
Pablo likes to eat worms.,Pablo enjoys worms and views them as a delicacy.,Pablo found a worm and ate it. He decided to try worm eating. So he went to the store,He was born in Thailand.
Halloween was a couple weeks ago.,I took all the leftover candy to work.,I decided to make a pumpkin. I didn't have any candy. I made a pumpkin,My work had a lot of candy.
Randy wanted to be in a band.,Randy got to join the band as a singer!,Randy practiced for years. and practiced every day. and played in a band,Randy went to a try out.
I never really enjoy Thanksgiving much due to not having much family.,When we finished we said our goodbyes and went home to sleep.,We decided to go to a Thanksgiving restaurant. We decided to invite friends. i wanted to invite some friends,I went to a friend's house this year.
I woke up at 7am.,He had really awful breath.,I took a deep breath and swallowed the sugary breath of my neighbor. i was so sick. i passed out,I leaned over in bed and kissed my husband.
Jan and Kim were both using the Montessori education model.,Jan brought the books back.,Jan and Kim decided to send the books to a library. Jan and Kim wanted to know if they could borrow books. Jan and Kim decided to borrow books from the library,Jan borrowed some of the books from Kim.
Sue had a really bad fever.,She felt better the next day.,Sue took some medicine. She went to the doctor. She was worried about her stomach,Sue took the day off took some aspirin and napped all day.
Laura had a passion for art.,Laura was pleased to show people her art.,Laura painted a portrait of a girl. Laura wanted to show her painting. Laura spent hours painting,Laura worked hard learning to paint.
James was walking through the snow.,He quickly ran home to change into new clothing.,James saw a huge snow storm. He decided to go for a walk. He was worried about getting lost,He slipped and fell in the mud.
One day Jim and Tom went to the beach.,Jim and Tom never had another hot dog after that day.,Jim ate a hot dog. They ate a lot of hot dogs. They went to the beach,The hot dogs Jim bought made them sick.
Monique was finishing a new novel.,She took the copy and slapped Gary hard over the head with it.,She accidentally spilled a drink on her. Gary was distracted by a game. So he decided to play a game,Gary snuck up behind her and scared her because she was deeply involved in reading her novel.
My hobby is taking selfies in front of poets' graves.,I took several selfies by this poet's grave.,I took a selfie with the flower in my hand. I took a selfie with a flower. I took a selfie with a flower,My favorite was Maya Angelou.
Karen wanted to have a child of her own.,She has never been happier in her life.,Karen found out she was pregnant and had a baby. Karen went to the doctor. Karen went to the doctor,Karen asked her boyfriend if he would like one too and he said yes.
Tom had too many headphones.,He never had a problem untangling headphones again.,Tom bought new headphones. He had to buy new ones. He bought them for himself,Tom chose to go with wireless equipment.
I was bored in my room one day.,I was still bored so I stopped.,I saw a dog and fell in love with it. I decided to play with a dog. I saw a dog,So I decided I would try juggling.
Today we went on a plane ride.,I vowed to never get on a plane again.,The ride was very long. I got on the plane. i was nervous,The plane did not have a smooth flight.
I opened up my sleeping bag I hadn't used in ten years.,Thankfully though I knew someone who could fix it.,I had a leaky ceiling fan in my room. I couldn't get the fan to work. I had a leaky ceiling fan,and there were a lot of moth holes in the material.
Jill always got bad grades in math.,To her surprise she got every question right.,Jill studied hard for the quiz. She studied hard for the quiz. So she knew the answers were difficult,Jill studied really hard.
Early Saturday morning as I sat reading my Bible a butterfly flew by.,I watched her until she faded away and then resumed my study.,I saw a beautiful butterfly outside. I watched the butterfly for a long time. i watched the butterfly,She moved as though she were dancing through the air.
Lucy had no clean clothes.,Lucy fell in love with the feeling of a sweater warm from the dryer.,Lucy's mom made her a sweater to wear to the laundromat. Lucy's clothes were dirty. she had to wash them,Lucy decided to do her laundry.
Liz went to order her burger.,She threw her burger away.,Liz ordered a burger with fries. The fries were cold. i ordered a burger,Liz was not really hungry.
Candice loves tacos.,Candice stuck to her original taco recipe.,Candice tried a new taco. She tried a new taco. She tried a new taco,Candice tried a new taco recipe but it tasted terrible.
Alex is a selfish man.,Now Alex is dating the girl and is very generous and sweet.,Alex met a girl and they started dating. Alex wanted to meet a girl. Alex met a girl,Alex met a girl that he really liked.
Last week my mother was frustrated because it seemed nothing worked.,For half an hour she cried and it suddenly powered on like magic.,My mother was not having any of it. I tried to get my mom to turn it off. i tried to turn it off,Her computer was just not working.
Evie was at a fair.,They were so pretty that she decided to buy one.,Evie saw a lot of flowers at the fair. She wanted to see a flower garden. So she went to the fair,Evie saw a captivating hat at a booth.
Lucy had a test tomorrow at school and she barely studied.,Lucy aced the test.,Lucy studied hard and got an A. So she decided to try to pass the test. So she studied hard,Lucy was super smart and always paid attention in class.
Peter decided to go for a walk.,He headed home to change his clothes.,Peter got lost in the woods. So he decided to walk. So he walked to a park,Halfway through his walk it started pouring.
Marie decided to be in a school play.,Marie was proud at the end when she got a standing ovation.,Marie practiced her lines everyday. She practiced her lines every day. She worked hard,Marie read the script many times to remember every line.
Lisa noticed there was a new girl at school.,Lisa was glad to help.,Lisa helped the new girl find her way back home. She had to walk to school. She had to walk to the school,Lisa invited the new girl to sit down with her and eat lunch.
Sam was mowing his front lawn.,He placed them back into the nest in the tree.,Sam noticed a lot of leaves in the grass. He put them in the nest. He put them in the tree,Sam spotted three baby birds on the ground.
Alicia wanted to go to Miami for her party.,The girls were mad because it was supposed to be a girls trip.,Alicia's friends invited her to the party. Alicia's friends didn't want to go. i asked the girls to go with,Alicia invited a boy to go along.
Matt and his girlfriend went to Yosemite last May.,They had a wonderful trip and are excited to return.,Matt and his girlfriend went hiking. They spent a lot of time on the hike. They decided to go hiking,The weather was beautiful in Yosemite.
Lee begged her parents to let her stay up late.,But by eleven o'clock she had fallen fast asleep!,Lee was very tired. But she had to go to bed early. But she had to go to the doctor,Lee's parents said she could stay up till midnight.
Jeff learned how to play guitar at a very young age.,They took the band on tour and became rockstars.,Jeff decided to take guitar lessons. Jeff wanted to play guitar. So he took a guitar lesson,Jeff's parents liked listening to his band play.
A scientist discovers that there is a disease beginning to spread.,They save the world.,The scientist went to the lab to find out what the disease is. The scientist went to the lab to find out. The scientist looked at the disease,The scientist creates a vaccine.
Matthew wanted to got trick or treating with his friend Micah.,Jack and Matthew collected lots of candy.,Micheal and Matthew went to the store. So they went to the store. i asked if anyone had any candy,Micah had to stay at home sick.
Jon got a job in East Texas.,He decided to quit the job.,The company was not hiring enough. Jon applied for a job in Texas. Jon did not get the job he wanted,It was a hour away from his house.
A farmer built a fence to keep in his horses.,The farmer cursed and realized his fence was too short.,The horses were not paying attention. The fence was too long. he got in trouble,The farmers horses all escape the fence.
Nancy is in her forties and decided to go get her college degree.,Nancy was surprised by how much things have change in schools.,Nancy went to college and got a degree. Nancy was not sure what to do. Nancy was not sure what to do,At her new university all courses required online participation.
Mike had a lemon tree in his backyard.,He soon realized that he had forgotten to put any sugar in it!,Mike put sugar in the lemon. Mike wanted to make something sweet. So he put sugar in the lemon,Mike made some lemonade and took a big drink.
I took my sons to their first concert.,My sons decided they would rather go out and sit on the lawn.,It was a very crowded day. I had to walk to the concert. I had to walk to the concert,I bought them seats in the front row.
Jim wants to see an action movie but Jen wants to see a romantic one.,Jen was so happy that she went to see Jim's movie the next night.,Jim went to a movie with Jen. i asked her to go with him. i asked if he wanted to go with her,Jim agreed to see the romantic movie with Jen.
Tito went surfing one morning in Hawaii.,He hit his head on a coral and died.,Tito was surfing when he saw a jellyfish. He was surfing when he saw a jellyfish. He was very excited,A big wave knocked Tito off his surfboard.
Larry has decided to help out his friends prepare for a party.,Larry decided to stay home from the party.,Larry's friends were not ready for the party. They had a party. They had to cancel,Larry caught the flu just before the party started.
Mimi and Alice had a favorite hangout spot.,Now all they had of their favorite spot were the memories they created,Mimi and Alice's favorite hangout was when they moved. They had a lot of fun there. So they had to move,the spot get ruined.
Sarah wanted to mail a card.,Sarah's letter was soon heading to its destination.,Sarah ordered her mail in record time. Sarah mailed a letter to her parents.  to mail it,She put stamps on it.
Lisa went for her routine bike ride.,Some days turn out to be great adventures.,Lisa had a lot of fun riding her bike. She rode her bike. She decided to ride her bike,Lisa spotted a cat and followed it off trail.
Andrea's dad asked her to get firewood.,Then she brought them inside.,Andrea's dad asked her to pick up firewood. i was going to pick up firewood. i was going to pick up firewood,Andrea picked up as much wood as she could.
Jack had been working super hard for weeks.,He got the promotion.,Jack's boss told him he would be promoted. Jack worked hard all week. Jack worked hard all week,Jack got called into his boss's office.
Gina was in the middle of the backseat surrounded by siblings.,Gina was disgusted.,Gina started to sit down. Gina sat in the backseat. Gina was upset the siblings were playing,Gina's siblings started picking their noses.
Sara was walking home from her college class.,By the time she got back it was time to go to school again.,Sara tripped and fell. She was walking on the sidewalk. She fell and hurt her ankle,Campus construction forced Sara to take a long detour.
